Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,
Data,5,record,timestamp,802840747,s,position_lat,406179947,semicircles,position_long,-1412193915,semicircles,distance,0.08,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,142,watts,heart_rate,128,bpm,cadence,81,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840748,s,position_lat,406179944,semicircles,position_long,-1412193914,semicircles,distance,0.11,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,144,watts,heart_rate,128,bpm,cadence,81,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840749,s,position_lat,406179939,semicircles,position_long,-1412193912,semicircles,distance,0.15,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,142,watts,heart_rate,128,bpm,cadence,81,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840750,s,position_lat,406179930,semicircles,position_long,-1412193909,semicircles,distance,0.21,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,142,watts,heart_rate,128,bpm,cadence,81,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840751,s,position_lat,406179925,semicircles,position_long,-1412193907,semicircles,distance,0.25,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,141,watts,heart_rate,128,bpm,cadence,80,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840752,s,position_lat,406179923,semicircles,position_long,-1412193906,semicircles,distance,0.27,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,139,watts,heart_rate,129,bpm,cadence,80,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840753,s,position_lat,406179920,semicircles,position_long,-1412193904,semicircles,distance,0.3,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,139,watts,heart_rate,129,bpm,cadence,80,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840754,s,position_lat,406179919,semicircles,position_long,-1412193903,semicircles,distance,0.31,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,138,watts,heart_rate,129,bpm,cadence,79,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840755,s,position_lat,406179918,semicircles,position_long,-1412193903,semicircles,distance,0.32,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,135,watts,heart_rate,129,bpm,cadence,78,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840756,s,position_lat,406179918,semicircles,position_long,-1412193902,semicircles,distance,0.32,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,138,watts,heart_rate,130,bpm,cadence,79,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840757,s,position_lat,406179918,semicircles,position_long,-1412193902,semicircles,distance,0.32,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,141,watts,heart_rate,130,bpm,cadence,80,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840758,s,position_lat,406179919,semicircles,position_long,-1412193901,semicircles,distance,0.32,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,144,watts,heart_rate,130,bpm,cadence,81,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840759,s,position_lat,406179919,semicircles,position_long,-1412193901,semicircles,distance,0.32,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,144,watts,heart_rate,130,bpm,cadence,80,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840760,s,position_lat,406179920,semicircles,position_long,-1412193900,semicircles,distance,0.32,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,140,watts,heart_rate,130,bpm,cadence,79,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840761,s,position_lat,406179920,semicircles,position_long,-1412193900,semicircles,distance,0.32,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,137,watts,heart_rate,130,bpm,cadence,79,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840762,s,position_lat,406179921,semicircles,position_long,-1412193899,semicircles,distance,0.32,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,138,watts,heart_rate,130,bpm,cadence,79,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840763,s,position_lat,406179921,semicircles,position_long,-1412193898,semicircles,distance,0.33,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,139,watts,heart_rate,130,bpm,cadence,79,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840764,s,position_lat,406179922,semicircles,position_long,-1412193898,semicircles,distance,0.33,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,138,watts,heart_rate,130,bpm,cadence,78,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840765,s,position_lat,406179922,semicircles,position_long,-1412193897,semicircles,distance,0.33,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,137,watts,heart_rate,130,bpm,cadence,78,rpm,temperature,26,C,,,,,,,,,,
